月,件数,売上(万),原価(万),粗利(万),歩合(万),利益(万),前月比(利益),利益率,売上計上率(件)
2025/08,10,2650,485,2165,155,1995,,0.753,10/10
2025/09,16,12166,6526,5640,635,3108,0.558,0.255,13/16
2025/10,6,8750,6590,2160,217,1943,-0.375,0.222,5/6
2025/11,11,5846,2178,3668,212,3279,0.688,0.561,11/11
2025/12,21,18180,9030,9150,1041,7955,1.426,0.438,21/21
2026/01,9,6640,3850,2790,341,2367,-0.702,0.356,7/9
2026/02,11,0,,3418,352,2994,0.265,,0/11
2026/03,11,8320,4332,3988,589,3339,0.115,0.401,10/11
2026/04,11,8370,4120,4250,513,3672,0.1,0.439,9/11
2026/05,11,16590,11670,4920,952,3968,0.08,0.239,9/11
2026/06,11,900,-3190,4090,0,3257,-0.179,3.619,3/11
第8期計,128,88412,,46239,5007,37877,,0.428,
